,Step,H_nhc,H_nhc1,H_nhc2
0,0,-6474.83301,0.0,0.0
300,6000,-6474.16504,-22.904089000000003,166.783142
600,12000,-6470.33154,-365.628082,577.125671
900,18000,-6464.46045,-1059.15845,1366.4351800000002
1200,24000,-6465.7168,-964.279907,1227.59778
1500,30000,-6467.384279999999,-880.0925289999999,1054.1958
1800,36000,-6461.990229999999,-1307.61169,1580.3396
2100,42000,-6465.60791,-1234.97632,1384.3731699999998
2400,48000,-6462.7876,-1449.77441,1665.21936
2700,54000,-6461.63525,-1558.21558,1771.34277
3000,60000,-6459.06836,-1899.23218,2103.64941
3300,66000,-6459.82129,-1856.50916,2091.7124
3600,72000,-6461.38086,-1864.58594,1988.05493
3900,78000,-6459.45801,-1911.06348,2107.69458
4200,84000,-6456.8335,-2272.8361800000002,2411.0791
4500,90000,-6453.3291,-2655.42798,2883.39941
4800,96000,-6455.5918,-2458.5415,2588.9021
5100,102000,-6453.81543,-2438.1799300000002,2721.13428
5400,108000,-6455.71582,-2564.21997,2615.25854
5700,114000,-6452.39795,-2828.29102,3015.1521
6000,120000,-6450.88672,-3014.64478,3195.26489
6300,126000,-6447.540529999999,-3561.0349100000003,3680.04688
6600,132000,-6442.67529,-4097.59717,4293.09766
6900,138000,-6440.3208,-4417.38818,4593.61865
7200,144000,-6440.92188,-4475.1411100000005,4670.06152
7500,150000,-6439.36621,-4658.48877,4923.2373
7800,156000,-6437.6098600000005,-4774.968260000001,4977.44971
8100,162000,-6435.15283,-5239.0786100000005,5389.2002
8400,168000,-6432.66455,-5530.46777,5723.51123
8700,174000,-6428.97119,-6039.562010000001,6146.34521
9000,180000,-6426.04395,-6383.52002,6577.25098
9300,186000,-6423.39453,-6772.0708,6948.15625
9600,192000,-6424.867679999999,-6569.84033,6829.259279999999
9900,198000,-6424.26855,-6732.11865,6982.148440000001
10200,204000,-6422.7661100000005,-6793.430659999999,7073.74658
10500,210000,-6419.63672,-7257.63867,7465.2417
10800,216000,-6417.4375,-7590.73193,7816.380859999999
11100,222000,-6414.666020000001,-7919.18652,8204.51562
11400,228000,-6408.64502,-8751.88867,8908.37695
11700,234000,-6408.73047,-8845.38379,9075.5918
12000,240000,-6406.333979999999,-9152.46484,9381.64258
12300,246000,-6401.73584,-9598.95898,9894.46387
12600,252000,-6396.76953,-10284.7461,10570.1855
12900,258000,-6394.822270000001,-10587.042,10865.2617
13200,264000,-6393.7548799999995,-10897.4609,11058.6387
13500,270000,-6392.10547,-10928.6055,11224.2715
13800,276000,-6391.083979999999,-11149.3867,11410.2852
14100,282000,-6387.478029999999,-11590.9434,11864.1328
14400,288000,-6385.83984,-11846.0986,12043.5186
14700,294000,-6380.71289,-12482.0518,12770.0879
15000,300000,-6379.146970000001,-12717.9639,13043.4443
300,306000,-6378.9848600000005,-12864.5195,13143.6309
600,312000,-6376.61914,-13166.0859,13422.75
900,318000,-6371.7338899999995,-13558.2617,13945.5176
1200,324000,-6372.24121,-13844.1221,14007.3291
1500,330000,-6365.76221,-14627.0381,14877.1387
1800,336000,-6360.2138700000005,-15248.915,15573.7588
2100,342000,-6356.31641,-15904.3906,16214.6123
2400,348000,-6350.63379,-16600.3906,16892.7578
2700,354000,-6346.819820000001,-17042.9941,17421.9199
3000,360000,-6344.30566,-17687.5586,17881.6777
3300,366000,-6340.79932,-17971.5918,18321.4648
3600,372000,-6337.4541,-18406.0645,18650.5996
3900,378000,-6336.82959,-18562.2383,18931.7637
4200,384000,-6332.27588,-19041.0332,19431.5547
4500,390000,-6333.25781,-19042.4277,19315.0879
4800,396000,-6330.459470000001,-19292.9277,19660.748
5100,402000,-6330.44775,-19333.7676,19645.502
5400,408000,-6326.52734,-20094.3457,20336.291
5700,414000,-6322.1167,-20409.5352,20771.8711
6000,420000,-6319.75391,-20771.0117,21144.0996
6300,426000,-6316.1709,-21093.5254,21575.2832
6600,432000,-6315.75684,-21336.1035,21683.293
6900,438000,-6310.55225,-21913.5664,22230.5859
7200,444000,-6311.30469,-21937.873,22252.3301
7500,450000,-6309.6201200000005,-22267.9297,22568.0
7800,456000,-6306.51465,-22736.7852,23003.1191
8100,462000,-6303.92285,-23090.1152,23302.582
8400,468000,-6300.05029,-23325.8105,23733.2734
8700,474000,-6297.92578,-23734.875,24111.8301
9000,480000,-6294.00684,-24265.5195,24623.1055
9300,486000,-6295.56152,-24170.6055,24434.5059
9600,492000,-6290.2583,-24651.4707,25009.5156
9900,498000,-6285.427729999999,-25451.8867,25809.1152
10200,504000,-6284.99561,-25395.6484,25792.3047
10500,510000,-6284.319820000001,-25570.1562,25889.6523
10800,516000,-6281.49316,-26046.1348,26306.0156
11100,522000,-6280.24121,-26092.8633,26407.9219
11400,528000,-6278.490229999999,-26551.0039,26837.7461
11700,534000,-6276.89355,-26556.1973,26907.7227
12000,540000,-6274.34082,-26866.9609,27263.5957
12300,546000,-6269.94824,-27393.4727,27764.2324
12600,552000,-6269.10596,-27526.6113,27936.0527
12900,558000,-6267.374510000001,-27709.7422,28139.5527
13200,564000,-6268.22021,-27746.4766,28040.5918
13500,570000,-6266.771,-28012.498,28388.4355
13800,576000,-6265.30957,-28128.0996,28554.3262
14100,582000,-6261.93213,-28580.7773,28986.2012
14400,588000,-6262.32324,-28472.4531,28874.791
14700,594000,-6261.19922,-28775.4922,29184.6465
15000,600000,-6255.03467,-29564.8008,29980.9727
15300,606000,-6251.97754,-29828.6543,30278.4395
15600,612000,-6251.819820000001,-29999.2227,30350.4766
15900,618000,-6249.51855,-30195.3027,30604.8984
