Step,TotEng,Hs
450000.00000000000,-6474.9257799999996,-6471.9394499999999
454500.00000000000,-6475.0229499999996,-6471.9472699999997
459000.00000000000,-6475.1420900000003,-6472.0024400000002
463500.00000000000,-6475.2700199999999,-6471.9604499999996
468000.00000000000,-6475.0419899999997,-6471.9785199999997
472500.00000000000,-6475.3198199999997,-6471.9399400000002
477000.00000000000,-6474.7407199999998,-6471.9672899999996
481500.00000000000,-6475.3579099999997,-6471.9750999999997
486000.00000000000,-6475.0302700000002,-6471.9125999999997
490500.00000000000,-6475.1665000000003,-6471.9829099999997
495000.00000000000,-6474.9985399999996,-6471.9243200000001
499500.00000000000,-6474.8881799999999,-6471.9169899999997
504000.00000000000,-6475.3886700000003,-6471.9872999999998
508500.00000000000,-6475.4916999999996,-6471.9116199999999
513000.00000000000,-6475.3549800000001,-6471.9653300000000
517500.00000000000,-6474.8584000000001,-6471.9247999999998
522000.00000000000,-6475.1225599999998,-6471.9619100000000
526500.00000000000,-6475.2656200000001,-6472.0043900000001
531000.00000000000,-6475.0922899999996,-6471.9692400000004
535500.00000000000,-6475.1484399999999,-6471.9399400000002
540000.00000000000,-6475.2597699999997,-6471.9790000000003
544500.00000000000,-6475.0234399999999,-6471.9736300000004
549000.00000000000,-6475.2807599999996,-6471.9868200000001
553500.00000000000,-6475.2304700000004,-6471.9672899999996
558000.00000000000,-6475.0043900000001,-6471.9794899999997
562500.00000000000,-6475.4897499999997,-6472.0185499999998
567000.00000000000,-6475.0698199999997,-6471.9399400000002
571500.00000000000,-6474.9121100000002,-6471.9492200000004
576000.00000000000,-6475.2919899999997,-6471.9565400000001
580500.00000000000,-6475.2070299999996,-6471.9423800000004
585000.00000000000,-6475.2793000000001,-6471.9848599999996
589500.00000000000,-6475.2304700000004,-6471.9409200000000
594000.00000000000,-6474.8486300000004,-6471.9570299999996
598500.00000000000,-6475.1425799999997,-6471.9145500000004
603000.00000000000,-6475.0522499999997,-6471.9335899999996
607500.00000000000,-6475.4565400000001,-6471.9624000000003
612000.00000000000,-6474.4936500000003,-6471.9716799999997
616500.00000000000,-6474.9365200000002,-6471.9824200000003
621000.00000000000,-6475.5209999999997,-6471.9843799999999
625500.00000000000,-6475.2793000000001,-6471.9829099999997
630000.00000000000,-6475.0083000000004,-6471.9384799999998
634500.00000000000,-6475.0781200000001,-6471.9643599999999
639000.00000000000,-6475.4287100000001,-6471.9272499999997
643500.00000000000,-6475.3110399999996,-6471.9204099999997
648000.00000000000,-6474.8657199999998,-6471.9399400000002
652500.00000000000,-6475.2348599999996,-6471.9804700000004
657000.00000000000,-6475.3652300000003,-6471.8911099999996
661500.00000000000,-6475.4287100000001,-6471.9926800000003
666000.00000000000,-6474.8969699999998,-6471.9746100000002
670500.00000000000,-6475.2040999999999,-6471.9653300000000
675000.00000000000,-6475.1152300000003,-6471.9838900000004
679500.00000000000,-6474.9589800000003,-6471.9038099999998
684000.00000000000,-6475.3955100000003,-6472.0000000000000
688500.00000000000,-6474.7402300000003,-6471.9560499999998
693000.00000000000,-6475.0541999999996,-6471.9594699999998
697500.00000000000,-6475.2031200000001,-6471.9692400000004
702000.00000000000,-6475.2514600000004,-6471.9594699999998
706500.00000000000,-6475.0239300000003,-6471.9604499999996
711000.00000000000,-6475.5625000000000,-6471.9008800000001
715500.00000000000,-6475.3764600000004,-6471.9560499999998
720000.00000000000,-6474.7871100000002,-6472.0317400000004
724500.00000000000,-6475.0097699999997,-6471.9853499999999
729000.00000000000,-6474.5776400000004,-6471.9658200000003
733500.00000000000,-6475.0219699999998,-6471.9633800000001
738000.00000000000,-6474.8891599999997,-6471.9047899999996
742500.00000000000,-6474.9921899999999,-6471.9814500000002
747000.00000000000,-6474.8925799999997,-6471.9399400000002
751500.00000000000,-6475.4199200000003,-6471.9809599999999
756000.00000000000,-6475.1035199999997,-6471.9526400000004
760500.00000000000,-6474.8886700000003,-6471.9858400000003
765000.00000000000,-6475.2597699999997,-6471.9711900000002
769500.00000000000,-6475.3759799999998,-6472.0073199999997
774000.00000000000,-6475.5620099999996,-6472.0307599999996
778500.00000000000,-6475.0786099999996,-6472.0068400000000
783000.00000000000,-6474.9819299999999,-6471.9746100000002
787500.00000000000,-6474.8940400000001,-6471.9746100000002
792000.00000000000,-6475.2690400000001,-6472.0083000000004
796500.00000000000,-6474.7416999999996,-6472.0009799999998
801000.00000000000,-6474.9794899999997,-6472.0429700000004
805500.00000000000,-6475.4619100000000,-6471.9995099999996
810000.00000000000,-6475.3247099999999,-6472.0161099999996
814500.00000000000,-6475.1816399999998,-6471.9711900000002
819000.00000000000,-6475.3198199999997,-6471.9531200000001
823500.00000000000,-6474.8549800000001,-6471.9848599999996
828000.00000000000,-6474.9106400000001,-6471.9580100000003
832500.00000000000,-6475.0395500000004,-6471.9589800000003
837000.00000000000,-6474.9560499999998,-6471.9145500000004
841500.00000000000,-6474.9550799999997,-6471.9672899999996
846000.00000000000,-6474.5776400000004,-6471.9682599999996
850500.00000000000,-6474.9399400000002,-6471.9731400000001
855000.00000000000,-6474.9350599999998,-6471.9355500000001
859500.00000000000,-6475.2456099999999,-6471.9448199999997
864000.00000000000,-6475.2387699999999,-6471.9746100000002
868500.00000000000,-6474.5385699999997,-6471.9511700000003
873000.00000000000,-6475.0546899999999,-6471.9633800000001
877500.00000000000,-6474.9096700000000,-6471.9765600000001
882000.00000000000,-6474.4477500000003,-6471.9550799999997
886500.00000000000,-6475.1967800000002,-6471.9399400000002
891000.00000000000,-6475.1044899999997,-6471.9760699999997
895500.00000000000,-6475.1176800000003,-6471.9834000000001
900000.00000000000,-6474.9399400000002,-6471.9414100000004
904500.00000000000,-6475.0717800000002,-6471.9404299999997
909000.00000000000,-6474.8964800000003,-6471.9331099999999
913500.00000000000,-6475.0576199999996,-6471.9433600000002
918000.00000000000,-6475.0644499999999,-6471.9951199999996
922500.00000000000,-6475.2446300000001,-6471.9609399999999
927000.00000000000,-6475.3305700000001,-6472.0078100000001
931500.00000000000,-6475.0331999999999,-6471.9433600000002
936000.00000000000,-6475.0956999999999,-6471.9643599999999
940500.00000000000,-6474.8173800000004,-6471.9414100000004
945000.00000000000,-6475.2866199999999,-6472.0009799999998
949500.00000000000,-6474.9438499999997,-6471.9736300000004
954000.00000000000,-6475.0869100000000,-6471.9580100000003
958500.00000000000,-6475.1772499999997,-6471.9360399999996
963000.00000000000,-6475.1098599999996,-6471.9316399999998
967500.00000000000,-6475.1425799999997,-6471.9946300000001
972000.00000000000,-6475.3203100000001,-6471.9765600000001
976500.00000000000,-6475.2075199999999,-6471.9467800000002
981000.00000000000,-6474.8569299999999,-6471.9399400000002
985500.00000000000,-6475.6025399999999,-6471.9555700000001
990000.00000000000,-6474.7934599999999,-6472.0131799999999
994500.00000000000,-6474.9023399999996,-6471.9355500000001
999000.00000000000,-6475.1455100000003,-6471.9780300000002
1003500.0000000000,-6475.3525399999999,-6472.0117200000004
1008000.0000000000,-6475.0058600000002,-6471.9814500000002
1012500.0000000000,-6475.5468799999999,-6472.0068400000000
1017000.0000000000,-6475.3593799999999,-6472.0048800000004
1021500.0000000000,-6474.9746100000002,-6471.9926800000003
1026000.0000000000,-6475.2734399999999,-6472.0136700000003
1030500.0000000000,-6474.8642600000003,-6471.9716799999997
1035000.0000000000,-6474.9589800000003,-6471.9746100000002
1039500.0000000000,-6475.1308600000002,-6471.9502000000002
1044000.0000000000,-6474.8847699999997,-6471.9682599999996
1048500.0000000000,-6474.8999000000003,-6471.9101600000004
1053000.0000000000,-6475.0434599999999,-6472.0180700000001
1057500.0000000000,-6474.5590800000000,-6471.9418900000001
1062000.0000000000,-6475.0815400000001,-6471.9648399999996
1066500.0000000000,-6475.5122099999999,-6471.9790000000003
1071000.0000000000,-6475.3422899999996,-6471.9921899999999
1075500.0000000000,-6474.9604499999996,-6471.9243200000001
1080000.0000000000,-6475.1977500000003,-6471.9990200000002
1084500.0000000000,-6475.2631799999999,-6472.0053699999999
1089000.0000000000,-6474.9043000000001,-6471.9531200000001
1093500.0000000000,-6475.4799800000001,-6472.0122099999999
1098000.0000000000,-6474.8647499999997,-6471.9345700000003
1102500.0000000000,-6474.9487300000001,-6471.9731400000001
1107000.0000000000,-6474.9409200000000,-6472.0043900000001
1111500.0000000000,-6475.1108400000003,-6471.9487300000001
